Code,SMILES,Score,,,,,
D124,"[C@H]12N(C(=O)[C@H](NC1=O)Cc1ccccc1)CCC2	",-12.9,,,,D124,
D125,"c1(ccccc1)CCOC(=O)[C@H]1NC(=O)CC1	",-12.5,,,,D125,
D126,"[C@@H]12N(C(=O)[C@@H](NC1=O)[C@@H](CC)C)CCC2	",-10.1,,,,D126,
D127,"[C@@H]12N(C(=O)[C@@H](NC1=O)CC(C)C)CCC2	",-10.6,,,,D127,
D128,"C1[C@@H](C[C@]2([C@](C1)([C@@]1([C@@H](CC2=O)[C@@H]2[C@](CC1)([C@H](CC2)[C@@H](/C=C/[C@@H](C(C)C)C)C)C)O)C)O)O	",-15.2,,,,D128,
D129,"c1c(cc2c(c1O)c(=O)c1c(o2)C=C[C@H]([C@H]1C(=O)OC)O)CO	",-13.2,,,,D129,
D130,"c1c(cc2c(c1O)c(=O)c1c(o2)C=C[C@@H]([C@H]1C(=O)OC)O)CO	",-13.6,,,,D130,
D131,"C1=C(C2=CC(=O)C(=C[C@@]2([C@H]([C@H]1OC(=O)C)C)C)O)Cl	",-12.7,,,,D131,
D132,C=C1OCC2=C[C@@H](O3)[C@H]4[C@](C3=O)(C)[C@@H](O)[C@@H](O5)[C@@H]5[C@]4(C)C2=C1,-14.4,,,,D132,
D133,O=C1OCC2=C[C@@H](O3)[C@H]4[C@](C3=O)(C)C[C@@H](O)C[C@]4(C)C2=C1,-14,,,,D133,
D134,"[C@]123[C@@H]4CC[C@@H]([C@]4(CC=C1[C@]1(CC[C@@H](C[C@]1(OO2)C=C3)O)C)C)[C@H](C)/C=C/[C@H](C(C)C)C	",-16.9,,,,D134,
D135,"[C@]123[C@@H]4CC[C@@H]([C@]4(CC[C@@H]1[C@]1(CC[C@@H](C[C@]1(OO2)C=C3)O)C)C)[C@H](C)/C=C/[C@@H](C(C)C)C	",-16.9,,,,D135,
D136,"[C@@H]12[C@H]3CC[C@@H]([C@]3(CC[C@H]1[C@]1(CC[C@@H](C[C@]31O[C@H]3C2=O)O)C)C)[C@H](C)/C=C/[C@H](C(C)C)C	",-16.4,,,,D136,
D137,C(=O)([C@@H](/C=C/CCCCCCCCCCCC)O)N[C@@H](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)[C@@H](/C=C/CC/C=C(/CCCCCCCCC)\C)O,-15.6,,,,#N/A,
D138,"C(=O)([C@@H](CCCCCCCCCCCCCC)O)N[C@@H](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)[C@@H](/C=C/CC/C=C(/CCCCCCCCC)\C)O	",-17.6,,,,#N/A,O=C(N[C@H]([C@H](O)/C=C/CC/C=C(C)/CCCCCCCCC)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)CCCCCCCCCCCCCC
D139,"C(=O)([C@@H](/C=C/CCCCCCCCCCCCCC)O)N[C@@H](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)[C@@H](/C=C/CC/C=C(/CCCCCCCCC)\C)O	",-17.6,,,,#N/A,O=C(N[C@H]([C@H](O)/C=C/CC/C=C(C)/CCCCCCCCC)CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H](O)/C=C/CCCCCCCCCCCCCC
D140,"C(=O)([C@@H](CCCCCCCCCCCCCCCC)O)N[C@@H](CO[C@@H]1O[C@@H]([C@H]([C@@H]([C@H]1O)O)O)CO)[C@@H](/C=C/CC/C=C(/CCCCCCCCC)\C)O	",-17.3,,,,D140,
D141,"c1ccc2c(c1)[nH]cc2[C@@]12c3c(cccc3)N[C@@H]1N1[C@]3(C2)C(=O)N([C@@](C1=O)(CO)SS3)C	",-13.7,,,,D141,
D142,"c1ccc2c(c1)[nH]cc2[C@@]12c3c(cccc3)N[C@@H]1N1[C@]3([C@H]2O)C(=O)N([C@@](C1=O)(CO)SSS3)C	",-11.8,,,,D142,
D143,"c1ccc2c(c1)[nH]cc2[C@@]12c3c(cccc3)N[C@@H]1N1[C@]3([C@H]2O)C(=O)N([C@@](C1=O)(C)SS3)C	",-12.3,,,,D143,
D144,"c12nc3[C@](NC(=O)[C@@H](n3c(=O)c1C=CC=CO2)Cc1ccccc1)(C(C)C)OC	",-16.1,,,,D144,
D145,"c1(cc(cc2C(=O)c3cc(cc(c3C(=O)c12)O)C)OC)O	",-13.8,,,,D145,
D146,"N1C(=O)[C@@H](NC(=O)/C/1=C/c1c([nH]c2c1cccc2)C(C)(C=C)C)C	",-14.9,,,,D146,
D147,"C1=C[C@]2([C@H]3[C@]([C@@H]1O)(C1=CC(=O)OCC1=C[C@H]3OC2=O)C)C	",-13.8,,,,D147,
D148,"[C@@H]12[C@@H]([C@]3([C@H]4[C@]([C@@H]1O)(C1=CC(=O)OCC1=C[C@H]4OC3=O)C)C)O2	",-13.9,,,,D148,
D149,"C1=C[C@]2([C@@H]3[C@]([C@H]1O)(C(=O)O[C@@H]3C=C1C2=CC(=O)OC1)C)C	",-14,,,,D149,
D150,"O[C@H]1C=CC[C@@H]2C[C@]34SS[C@@]5(C[C@@H]6[C@@H](O)C=C[C@H](O)[C@H]6N5C3=O)C(=O)N4[C@H]12	",-14,,,,D150,
D151,"C(=O)(c1c(cc(cc1CCCCCCCCC)O)O)[O-]	",-13.1,,,,D151,
D152,"c1ccc2c3c1O[C@]14c5c(C(=O)[C@@H]6[C@H]1O6)c(ccc5O[C@]3([C@@H](CC2=O)O)O4)O	",-16.8,,,,D152,
D153,"c1ccc2c3c1O[C@]14c5c(C(=O)[C@@H]6[C@H]1O6)c(ccc5O[C@]3(C=CC2=O)O4)O	",-16.4,,,,D153,
D154,"O[C@H]1/C=C\[C@@H](OC)/C=C\CCC[C@H](C)OC(=O)/C=C/1	",-13,,,,D154,
D155,"O=C1/C=C\[C@@H](OC)/C=C\CCC[C@H](C)OC(=O)/C=C/1	",-13,,,,D155,
D156,"O[C@H]1/C=C\C=C\[C@@H](CCC[C@H](C)OC(=O)/C=C/1)O	",-12.1,,,,D156,
D157,"O[C@@H]1/C=C\C=C\[C@@H](CCC[C@H](C)OC(=O)/C=C/1)O	",-12.3,,,,D157,
D158,"[C@@H]12Oc3c(c[nH]c(=O)c3C(=O)[C@@H]1[C@@H]([C@H]1C[C@H](CC[C@@H]1[C@]2(C)O)C)/C=C/C)c1ccc(cc1)O	",-16.5,,,,D158,
D159,"C[C@]1([C@@H](C[C@H]2[C@@H]([C@H]1O)C(=O)c1c(C2=O)c(cc(c1)OC)O)O)O	",-13.8,,,,D159,
D160,"C[C@]1([C@@H]([C@H](C2=C([C@H]1O)C(=O)c1c(C2=O)c(cc(c1)OC)O)O)O)O	",-13.7,,,,D160,
D161,"C[C@@]1(CC2=C(C[C@H]1O)C(=O)c1c(C2=O)cc(cc1O)OC)O	",-13.1,,,,D161,
D162,"CC(=O)O[C@@H]1[C@H](C2=C([C@H]([C@]1(C)O)O)C(=O)c1c(C2=O)c(cc(c1)OC)O)O	",-14.5,,,,D162,
D163,"C[C@@]1([C@@H](C2=C(C(=O)c3c(cc(c(c4c(cc(c5c4C(=O)C4=C(C5=O)[C@@H]([C@H]([C@](C)([C@@H]4O)O)O)O)O)OC)c3C2=O)OC)O)[C@@H]([C@H]1O)O)O)O	",-11.7,,,,D163,
D164,"c1ccc2c(c1)C1=C(C2)[C@]2([C@H](C1)CC[C@@H]1[C@@]2(CC[C@H]2C1=C[C@H]([C@H](C2)C(C)(C)O)O)C)C	",-14.8,,,,D164,
